Kváskový slovenský chlieb 405g,1.79 €
Gazdovský kváskový chlieb 405g,1.89 €
Chlieb Lomidrevo 405g,1.75 €
Rustikálny semolinový chlieb 405g,1.35 €
Pšeničný chlieb s kváskom 410g,1.79 €
Bochník s kváskom a cmarom 500g,1.59 €
Oskar kváskový slnečnicový chlieb 505g,2.69 €
KVASKO RASCOVÝ CHLIEB 505G,1.99 €
Tekvicový chlieb z materského kvásku 400g,2.19 €
Chlieb tmavý voľný 1000g,1.89 €
Penam Fit deň Celozrnný ražný chlieb 250 g,2.29 €
Chlieb multicereálny 500g,2.29 €
Kváskový chlieb svetlý 400g,2.09 €
Kváskový chlieb ražný balený 400g,1.75 €
Penam Protein Energy chlebík proteínový tmavý 200 g,3.49 €
Penam Slovanský zemiakový chlieb 400 g,1.85 €
Penam Slovanský krajec tmavý 400 g,2.19 €
Slatinská Pekáreň Slatinský chlieb celozrnný krájaný 400 g,1.59 €
Chlieb večerný bielkovinový 350g,2.59 €
Chlieb Gazdovský 500g,2.45 €
Chlieb tekvicový 250g,2.29 €
Chlieb rascový 450g,2.25 €
Clever Konzumný chlieb krájaný 500g,0.99 €
BILLA Chlieb toastový chlieb tmavý 500g,2.35 €
Ölz Sendvič americký krájaný 750g,3.45 €
Ölz Super soft sandwich 375g,2.59 €
Ölz Viaczrnný toastový chlieb 250 g,1.99 €
Penam Protein Energy proteínový toust 240 g,2.55 €
Roberto Toast krájaný natur 400g,2.49 €
Veka 400g,1.29 €
Mestemacher Chlieb slnečnicový balený 500g,2.45 €
Vitacelia Celio chlebík bezgluténový 250 g,4.29 €
Chlieb bezgluténový z múky quinoa 350g (gluten free),3.59 €
Schär Maestro Classic chlieb bezgluténový krájaný 300 g,4.15 €
Rožok 50g,0.14 €
Rožok grahamový 60g,0.20 €
Kaiserka cereál 55g ,0.19 €
Kaiserka natural 55g,0.15 €
Bageta malá svetlá 50g,0.21 €
Francúzska bageta stredná 110g,0.29 €
Kornbageta stredná 115g,0.45 €
Tekvicová bulka 65g,0.54 €
Gazdovská žemľa so šunkou 75g,0.99 €
Pizza šunková 181g,1.25 €
Hot dog 96g,0.65 €
Syrový pagáč 72g,0.79 €
Pagáč oškvarkový 85g,0.79 €
Pagáč so zníženým obsahom sacharidov 70g,0.55 €
Cesnaková Bageta 165G,0.69 €
ŠPALDOVÁ BAGETA 123G,0.59 €
Tyčinka so zelenými olivami 70g,0.99 €
Bageta sedliacka stredná tmava 115g,0.79 €
Viaczrnná Maxi tyčinka 82g,0.79 €
Svetlá bulka so zemiakmi 80g,0.49 €
Croissant šunka-syr 88g,0.79 €
Podplamenník slanina-smotana 75g,0.99 €
Rohliky hot dog 4ks 250g,2.25 €
Slané tyčinky so syrom a rascou 250g,2.75 €
Tyčinky špaldové s ľanom 60g,1.39 €
Schär Pain Campagnard chlieb bezgluténový krájaný 240 g,3.99 €
Schär Focaccia pečivo bežné bezgluténové 200 g,4.29 €
Schär Ciabatta pečivo bežné bezgluténové 200 g,3.89 €
Schär Salinis praclíky bezgluténové 60 g,1.55 €
Schär Wraps pečivo bežné bezgluténové 160 g,3.99 €
Schär Orangino jemné pečivo bezgluténové polomáčané v čokoláde s náplňou s príchuťou pomaranča 150 g,2.39 €
Schär Choco chip cookie bezlepkové 100g,1.99 €
Schär Wafers al cacao bezlepkové 125g,2.39 €
Croissant s maslom 54g,0.49 €
Croissant zakrivený 85g,0.99 €
Donut s čokoládovou príchuťou 55g,0.45 €
Donut škoricový s jablkovou náplňou 65g,0.65 €
Donut s čokoládovou polevou Milka 55g,0.99 €
Mini šiška s nugátom 25g,0.45 €
Šiška s marhuľovou náplňou 70g,0.69 €
Čokoládová rolka 58g.,0.49 €
Taštička tvaroh - marhuľa 85g,0.59 €
MARHUĽ.TAŠTIČKA LA LORRA. 85G,0.59 €
Zákusok puding a ríbezle 85g,0.75 €
Hrebeň so slivkovým lekvárom 85g,0.65 €
Hrebeň mak - med 68g,0.59 €
Mriežka krémová s granátovým jablkom 85g,0.79 €
Koláč mix 75g,0.79 €
BILLA Závin s orechovou náplňou 400g,2.69 €
BILLA Závin tvarohový 200g,1.79 €
BILLA Závin s tvarohovou náplňou 400g,2.69 €
BILLA Závin s kakaovou náplňou 400g,2.69 €
BILLA Premium Závin s makovou náplňou 300g,2.29 €
BILLA Premium Závin s orechovou náplňou 300g,2.29 €
BILLA Premium Bratislavský Rožok Makový 200g,2.45 €
BILLA Premium Bratislavský Rožok Orechový 200g,2.45 €
Ölz Závin s makovou náplňou 350 g,2.95 €
Strúhanka 500g,2.19 €
BILLA Kukurična struhanka 200g,1.29 €
Strúhanka vitaflóra paniero 750g,1.15 €
BILLA Kukuričný chlebík mliečna čokoláda 90g,1.19 €
Racio Polomáčané ryžové chlebíčky jogurtová poleva 100 g,1.29 €
Racio Tenké chlebíčky ryžové s mliečnokakaovou polevou 100 g,1.29 €
Malokarpatský chlebíček ryža - kakao 60 g,0.69 €
Malokarpatský chlebíček ryža - jogurt 60 g,0.69 €
Racio Cornies kukuričné chlebíčky s ľanovým semienkom 115 g,0.99 €
Racio Cornies kukuričné chlebíčky s medvedím cesnakom 115 g,0.99 €
Racio Cornies polomáčané kukuričné chlebíčky s horkou čokoládou 75 g,0.99 €
Racio Cornies kukuričné chlebíčky s morskou soľou 115 g,0.99 €
Racio Bio špaldové chlebíčky 140 g,1.39 €
Racio Free Style Ryžové chlebíčky s príchuťou paradajky a bazalky 25 g,0.59 €
Racio Free Style Ryžové chlebíčky s príchuťou syra 25 g,0.59 €
Racio Chlebíčky ryžové 130 g,0.99 €
Racio Chlebíčky pšeničné 130 g,0.99 €
Racio Raciolky Minichlebíčky ryžové s mliečnokakaovou polevou 60 g,0.99 €
Racio Raciolky Jogurtové 60 g,1.05 €
Racio Polomáčané kukuričné chlebíčky mliečnokakaová poleva 100 g,1.09 €
Racio Chlebíčky ryžové so sójou 130 g,1.05 €
Racio Bio ryžové chlebíčky 140 g,1.39 €
Druid Celpo Celozrnné extra jemné chlebíčky 100 % špalda 80 g,0.99 €
Celpo 100% celozrnné extra jemné chlebíčky šošovica s morskou soľou 90 g,1.09 €
MINI TOPINKY SLANINA 150G  BONAVITA,1.79 €
MINI TOPINKY HORČICA 150G,1.79 €
CELOZRNNÉ SUCHÁRIKY 140G BONAVITA,1.79 €
