BILLA maslo 84% 250g,1.99 €
Rajo Tradičné maslo z lahodnej smotany 250 g,3.29 €
Tami Tatranské maslo 250 g,3.29 €
Babička Maslo z poctivej smotany 250 g,2.19 €
Liptov Maslo 250 g,3.49 €
Clever maslo 82% 250g,1.99 €
Koliba Tradičné maslo 250 g,3.39 €
Rajo Tradičné maslo z lahodnej smotany 125 g,2.09 €
Tami Tatranské maslo 125 g,0.99 €
BILLA BIO maslo 125g,2.39 €
Clever maslo 82% 125g,1.09 €
Rama alternatíva masla olivová 200g,1.39 €
Rama Maslová príchuť 400 g,3.99 €
Rama Classic 400 g,3.99 €
Rama Slaná príchuť 400 g,3.99 €
Rama Maslová príchuť 225 g,2.69 €
Rama Tuková nátierka 79% 250 g,1.99 €
Rama Crema 31% 200 ml,1.59 €
Rama Crema 15% 200 ml,1.59 €
Flora Gold 400 g,4.29 €
Flora Original 400 g,4.29 €
Flora Light 400 g,4.29 €
Palma Veto výhodné s maslovou príchuťou 500 g,1.39 €
Palma Veto Maslové 1% 450 g,1.59 €
Perla Maslová príchuť 450 g,2.29 €
Hera Classic 250 g,1.89 €
Palma Palmarin 250 g,1.39 €
Palma Cera na polevy 250 g,1.19 €
Leerdaamer Original 160 g,2.59 €
Leerdammer plátky 100g,1.39 €
Leerdammer Lightlife 5 plátkov 100 g,1.39 €
BILLA Ementáler strúhaný 150g,1.99 €
Liptov Eidam - porciované plátky neúdené 100 g,1.49 €
Liptov Eidam - porciované plátky údené 100 g,1.49 €
Kerrygold White cheddar 150g,3.19 €
Karička Eidam 45 % plátky klasik 100 g,1.89 €
Veselá Kráva Črievko 120 g,1.59 €
Billa Premium Syr S Prích.Hľuzoviek 150G,3.29 €
Clever Eidam 45% 250g,2.49 €
Clever Eidam 30% 250g,1.99 €
Clever Gouda 45% syr plátky 250g,2.39 €
Clever Gouda syr strúhaný 200g,2.59 €
Clever Eidam 30% syr plátky 150g,1.79 €
Clever Eidam 45% syr plátky 150g,1.45 €
BILLA Mozzarella 125g,1.39 €
MOZZARELLA GALBANI 125G LACTALIS,0.99 €
Galbani Mozzarella light 125g,0.99 €
Zott Zottarella Mozzarella Classic 125 g,1.69 €
Zott Zottarella Mozzarella Basilikum 125 g,1.69 €
Mozzarella v náleve 120g,1.59 €
Clever Mozzarella syr 125g,0.99 €
BILLA Mozzarella mini 125g,1.99 €
Milsy Bánovecký pološtiepok neúdený 190 g,3.09 €
Milsy Bánovecký pološtiepok údený 190 g,3.09 €
Babybel Original 5 x 20 g,2.69 €
Lunter Tofu údené 180 g,0.89 €
Lunter Tofu naturálne 180 g,0.89 €
Lunter Tofu marinované 180 g,0.89 €
Violife Blok grécky biely 230 g,4.09 €
Nurishh Mozzarella vegánska potravinová špecialita 120 g,2.49 €
Nurishh Cheddar vegánska potravinová špecialita plátkovaná 120 g,2.49 €
Rajo Vegan Krém 250 g,2.19 €
Rajo Vegan Greek Natur s rastlinným tukom 160g,1.59 €
Rajo Vegan Greek chilli s rastlinným tukom 160 g,1.59 €
Clever Toastový syr plátky 200g,1.89 €
Bambino Toast & Burger čedar 130 g,1.99 €
Bambino Originál 100 g,1.59 €
Bambino Originál Maxi 140 g,1.99 €
Bambino Originál 8 ks 120 g,1.85 €
Karička črievko Tavený syr 100 g,1.59 €
Karička črievko Maxi tavený syr 140 g,1.39 €
Karička črievko s ementálom 100 g,1.59 €
Karička črievko Rodinné balenie 3 x 100 g,3.99 €
KARIČKA MAXI 240g,3.39 €
Karička Maxi so šunkou 240 g,3.39 €
Karička Klasik 125 g,1.59 €
Karička s pažítkou 125 g,1.59 €
Syrokrém Klasik 80 g,0.99 €
Syrokrém S pažítkou 80 g,0.99 €
Pravý Syrokrém Smotanela XXL 4 ks 200 g,1.99 €
Pravý Syrokrém Smotanela 3 ks 150 g,2.19 €
Kiri Roztierateľný tavený syr 12 ks 200 g,2.99 €
NIVA Roztierateľný tavený syr 100 g,1.19 €
Clever Jemný tavený syr 3x50g,1.19 €
Veselá Kráva Lahodná tavený syr 120 g,1.59 €
Veselá Kráva Sýr a Křup Lahodný syr & chrumkavé tyčinky 4 x 35 g (140 g),2.79 €
Veselá Kráva Sýr a Křup Lahodný syr & chrumkavé tyčinky 35 g,0.99 €
Lunex Klasik tavený syr 90 g,0.89 €
BILLA Mlieko čerstvé 36% 1L,0.99 €
