BILLA BIO banány (cca 1kg),~1.99 €
Čučoriedky 125g,1.79 €
Jablká balené 1kg,1.69 €
Clever Jablká červené gala 2kg,1.99 €
Clever Jablká zelené golden delicious 2kg,1.99 €
Jablká golden delicious ukladané voľné kus,~0.34 €
Clever hrušky 1kg,1.99 €
Clever citróny 500g,0.79 €
Jablká červené voľné kus,~0.15 €
Pomaranče voľné kus,~0.70 €
Mandarínky voľné kus,~0.21 €
Kiwi kus,0.69 €
Stolové hrozno biele 500g,2.49 €
Stolové hrozno 500g červené,3.49 €
Mango kus,2.69 €
Granátové jablko kus,1.99 €
Hrušky zelené voľné kus,~0.44 €
Clever pomaranče navelina 2kg,3.49 €
Uhorka poľná kus,~0.90 €
BILLA BIO Uhorka kus,1.39 €
Clever Zemiaky neskoré typ B 5kg,4.79 €
Zemiaky žlté neskoré prané typ A 25kg,3.99 €
Clever Cibuľa 1kg,1.69 €
Cibuľa červená 500g,1.29 €
Cibuľa šalotka 250g,1.29 €
Cesnak balený 3ks,1.59 €
Clever Paprika zeleninová 500g,2.59 €
Paprika červená voľná kus,~0.84 €
Petržlen praný balený 350g,2.49 €
Rajčiaky Plum 500g,2.99 €
Zeler praný voľný,~1.27 €
Sedáno zeler stopkatý kus,1.69 €
Baklažán voľný kus,~1.22 €
Pór voľný kus,~1.02 €
Polievková zmes 500g,1.69 €
Kel voľný,~1.86 €
Kapusta biela voľná kus,~2.02 €
Kapusta pekinská voľná,~2.08 €
Kapusta Kvasená 1kg,1.59 €
Andaco Kvasená kapusta 1200 g,2.49 €
Čalamáda 850g,1.89 €
Šalát ľadový kus,0.99 €
Cvikla Praná 1kg,1.69 €
Zázvor voľný kus,6.90 €
Reďkovka červená zväzok,0.49 €
Kaleráb s vňaťou kus,0.99 €
BILLA Jadrá kešu orechov 200g,2.99 €
BILLA Jadrá vlašských orechov 200g,2.99 €
BILLA Jadrá lieskových orechov 200g,3.49 €
BILLA Jadrá sladkých mandlí 200g,2.99 €
Zmes brusnic a pražených lieskovcov 200g,2.59 €
Ovocno Orechová zmes 200g,2.29 €
Tekvicové jadrá pražené solené nel.150g,1.49 €
BILLA Fit zmes 150g,3.79 €
BILLA Hrozienka 500g,2.69 €
Sézam 150g,1.09 €
Tina Chia semienka 150g,2.49 €
Slivky sušené vykôstkované 300g,3.09 €
BILLA sušené slivky odkôskované 500g,4.99 €
Passion brusnice 125g,1.49 €
Ananás plátky 250g,1.69 €
Brusnice mix 150g,1.79 €
Naše Gaštany pečené lúpané 100 g,1.99 €
Kokos chips natural 200g,1.39 €
Smoothie LESNÉ PLODY 250 ml,2.29 €
Smoothie ANANÁSKOKOSBANÁN 250 ml,2.29 €
Rio Cold Press 100% jablko cvikla 1 l,2.49 €
Rio Cold Press 100% Costa Rica ananás 1 l,3.29 €
Rio Cold Press 100% malina hrozno jablko 1 l,3.29 €
Rio Cold Press Greponade Grapefruit 400 ml,0.99 €
