ID,EAN,Name,Price,Market_ID
0,01-39293-39393-4,"Mineralna voda",0.8,0
1,01-69320-58018-2,"Rozok biely",0.6,1
2,01-59291-10294-1,"Jogurt malinovy",0.12,0
3,85-90123-45678-9,"Mlieko Pilos 1.5% tuku 1L",1.29,1
4,87-12345-67890-1,"Chlieb Ryzovy celozrnny 500g",0.99,0
5,93-23456-78901-2,"Kava Arabica 250g",4.49,2
6,76-56789-01234-5,"Pivo Zlaty Bazant 0.5L",1.79,3
7,55-67890-12345-6,"Praci prasok Persil Color 2kg",7.99,4
8,12-34567-89012-3,"Jogurt natural 150g",0.79,5
9,34-56789-01234-5,"Maslo Laptevske 250g",2.99,2
10,67-89012-34567-8,"Cukor krupica 1kg",1.49,5
11,78-90123-45678-9,"Dezinfekcny gel 100ml",2.29,4
12,90-12345-67890-1,"Syr Eidam 200g",3.99,3
