ID,name,details
0,neurčená,
1,ovocie_zelenina,"Ďalej obsahuje bylinky. Pozor, neobsahuje orechy, či semienka."
2,pecivo,"Obsahuje slané aj sladké pečivo, racio, torty a zákusky..."
3,maso_mrazene_potraviny,"Obsahuje rôzne formy mäsa (kuracie, telacie...), ryby a ďalšie mrazené potraviny (pizza, hranolky, zmrzlinu...)."
4,udeniny_natierky_pastety,"Obsahuje rôzne typy udenín (salámy, šunky...), klobásy, špekačky,  nátierky  "
5,mliecne_vyrobky,
6,trvanlive_potraviny_vajcia,
7,sladkosti,
8,slane_snacky_semienka,
9,nealkoholicke_napoje,
10,teple_napoje,
11,alkohol,
12,zdrave_potraviny,
13,hotove_instantne,
