ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
382806,Avokádo. ks,avokado. ks,1.73,0,ks,-1,24,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382807,Limety ks,limety ks,0.57,0,ks,-1,161,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382808,Kiwi ks,kiwi ks,0.57,0,ks,-1,45,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382809,Ananás. ks,ananas. ks,3.82,0,ks,-1,5,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 17:05:29
382810,Tesco Maliny 125 g,tesco maliny 125 g,3.47,0,gram,125.0,49,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382811,Tesco Hrozno biele bezkôstkové 500 g,tesco hrozno biele bezkostkove 500 g,3.7,0,gram,500.0,28,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382812,Tesco Finest Hrozno tmavé bezkôstkové 400 g,tesco finest hrozno tmave bezkostkove 400 g,3.65,0,gram,400.0,36,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382813,The Grower's Harvest Jablká červené. balené 2 kg,the grower's harvest jablka cervene. balene 2 kg,2.31,0,gram,0.002,30,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382814,The Grower's Harvest Jablká zelené 2 kg,the grower's harvest jablka zelene 2 kg,2.31,0,gram,0.002,11,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382815,Daifressh Ríbezle červené 125 g,daifressh ribezle cervene 125 g,4.05,0,gram,125.0,16,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382816,Mango. ks,mango. ks,2.31,0,ks,-1,13,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382817,Tesco Citróny 500 g,tesco citrony 500 g,1.19,0,gram,500.0,323,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382818,Tesco Pomaranče balené 1 kg,tesco pomarance balene 1 kg,2.54,0,gram,0.001,23,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382819,Tesco Finest  Avokádo,tesco finest  avokado,1.69,0,unknown,-1,339,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382820,Granátové jablko. ks,granatove jablko. ks,2.89,0,ks,-1,18,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382821,Growers Harvest Hrušky balené 1 kg,growers harvest hrusky balene 1 kg,2.31,0,gram,0.001,18,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382822,GH Hrozno tmavé bezkôstkové 500 g,gh hrozno tmave bezkostkove 500 g,2.99,0,gram,500.0,204,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382823,Uhorka šalátová. ks,uhorka salatova. ks,0.99,0,ks,-1,1080,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382824,Tesco Bio uhorky,tesco bio uhorky,1.5,0,unknown,-1,12,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382825,Reďkovka červená zväzok,redkovka cervena zvazok,1.03,0,unknown,-1,162,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382826,Pór ks,por ks,1.38,0,ks,-1,53,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382827,Mrkva zväzok ks,mrkva zvazok ks,1.5,0,ks,-1,13,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382828,Tesco Cesnak 3 ks,tesco cesnak 3 ks,2.31,0,ks,3.0,35,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382829,Cibuľka lahôdková ks,cibulka lahodkova ks,0.79,0,ks,-1,309,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382830,Veselá paradajka Paradajky cherry San Marzano 250 g,vesela paradajka paradajky cherry san marzano 250 g,3.24,0,gram,250.0,12,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382831,Tesco Baby paradajky podlhovasté 250 g,tesco baby paradajky podlhovaste 250 g,3.7,0,gram,250.0,9,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382832,Tesco Paradajky kokteilové na stonke 400 g,tesco paradajky kokteilove na stonke 400 g,2.79,0,gram,400.0,403,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382833,Tesco Paradajky strawberry 300 g,tesco paradajky strawberry 300 g,3.35,0,gram,300.0,17,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382834,Tesco Paradajky cherry na stonke 250 g,tesco paradajky cherry na stonke 250 g,3.24,0,gram,250.0,29,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382835,Tesco Bio paradajky cherry 250 g,tesco bio paradajky cherry 250 g,1.96,0,gram,250.0,8,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382836,Zeleninárska Kráľovská cibuľa 1.5 kg,zeleninarska kralovska cibula 1.5 kg,2.89,0,gram,0.0015,14,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382837,F.W. Tandoori Húževnatec jedlý šii-také 50 g,f.w. tandoori huzevnatec jedly sii-take 50 g,5.38,0,gram,50.0,19,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382838,Kaleráb ks,kalerab ks,0.99,0,ks,-1,381,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382839,Petržlen zväzok ks,petrzlen zvazok ks,2.31,0,ks,-1,16,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382840,Tesco Portobello 280 g,tesco portobello 280 g,2.89,0,gram,280.0,5,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382841,Tesco Šampiňóny biele 500 g,tesco sampinony biele 500 g,1.99,0,gram,500.0,110,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382842,Tesco Šampiňóny krémové 250 g,tesco sampinony kremove 250 g,1.19,0,gram,250.0,16,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382843,Tesco Bio zemiaky sladké 750 g,tesco bio zemiaky sladke 750 g,3.12,0,gram,750.0,5,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382844,Tesco Kvasená biela kapusta 700 g,tesco kvasena biela kapusta 700 g,1.15,0,gram,700.0,189,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382845,Tesco Kvasené uhorky 800 g,tesco kvasene uhorky 800 g,1.59,0,gram,800.0,39,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382846,Zeler stopkový ks,zeler stopkovy ks,1.73,0,ks,-1,38,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382847,Tesco Paradajky cherry na stonke 500 g,tesco paradajky cherry na stonke 500 g,3.47,0,gram,500.0,56,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382848,Tesco paprika trikolóra 500 g,tesco paprika trikolora 500 g,2.54,0,gram,500.0,48,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382849,GH Cibuľa balená 1 kg,gh cibula balena 1 kg,1.69,0,gram,0.001,195,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382850,GH Paradajky CHERRY 250 g,gh paradajky cherry 250 g,1.73,0,gram,250.0,114,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382851,GH Paprika biela,gh paprika biela,2.54,0,unknown,-1,32,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
