name,price,approximation,market_ID
Kuracie rezne chladené (cca 1050g),7.97 €,1,1
Kuracie rezne (cca 625g),4.74 €,1,1
Kuracie rezne (cca 650g),5.52 €,1,1
Kuracie Soté (cca 500g),3.55 €,1,1
Kurča bez drobkov chladené chladené (cca 1600g),7.18 €,1,1
Kuracie stehná celé chladené (cca 500g),2.30 €,1,1
Kuracie stehná horné chladené (cca 600g),2.93 €,1,1
Kuracie stehná dolné chladené (cca 600g),2.93 €,1,1
BILLA Bravčová šunka 100g,1.59 €,0,1
BILLA Kuracia šunka 100g,1.59 €,0,1
BILLA Morčacia šunka 100g,1.59 €,0,1
BILLA Debrecínska pečienka 150g,2.89 €,0,1
BILLA Vidiecka šunka 100g,1.59 €,0,1
Billa Toastová Šunka 100G,1.59 €,0,1
BILLA Extra jemná saláma 100g,1.89 €,0,1
BILLA Prosciutto crudo 90g,1.99 €,0,1
BILLA Schwarzwaldská šunka 100g,1.55 €,0,1
BILLA Jamón serrano 80g,1.99 €,0,1
Berger Wellness bravčová šunka 100 g,2.45 €,0,1
Berger Morčacia šunka - plátky 100 g,2.45 €,0,1
Berger Jemná saláma 150g,2.59 €,0,1
Berger Jemná saláma 500g,4.59 €,0,1
Berger Kuracia šunka 100g,2.45 €,0,1
Berger Pečená šunka 100g,2.45 €,0,1
Berger Tradičná bravčová šunka 100 g,2.45 €,0,1
Berger Wellness jemná saláma 100g,1.89 €,0,1
Le & Co Pražská šunka 100g,1.69 €,0,1
Le & Co Morčacia šunka 100g,1.69 €,0,1
Le & Co Šunka špeciál 100g,1.69 €,0,1
Le & Co Šunka dusená v pare 100g,1.69 €,0,1
Le & Co Šunka pre deti krájaná 100 g,1.69 €,0,1
KURACIA ŠUNKA 200G LECO,2.59 €,0,1
Tauris Zipser šunka orginál 250g,3.59 €,0,1
Mäsokombinát Púchov Sľub pioniera dusená šunka 100g,1.59 €,0,1
Mortadella Bologna I.G.P. 150g,2.49 €,0,1
Berto Karpaty šunka 100 g,2.09 €,0,1
Clever Šunková saláma 100g,0.99 €,0,1
Clever Bravčová šunka 100g,0.93 €,0,1
Clever Lyonská saláma 200g,1.29 €,0,1
Cesnakový bok 250g,2.79 €,0,1
Berger Pikantná saláma 150g,2.59 €,0,1
Medvedík mortadella 90g,1.79 €,0,1
Berto Macík jemná saláma 90g,2.49 €,0,1
Berger Wellness sekaná 100g,1.69 €,0,1
BILLA maslo 84% 250g,1.99 €,0,1
Rajo Tradičné maslo z lahodnej smotany 250 g,3.29 €,0,1
Tami Tatranské maslo 250 g,3.29 €,0,1
Babička Maslo z poctivej smotany 250 g,2.19 €,0,1
Liptov Maslo 250 g,3.49 €,0,1
Clever maslo 82% 250g,1.99 €,0,1
Koliba Tradičné maslo 250 g,3.39 €,0,1
Rajo Tradičné maslo z lahodnej smotany 125 g,2.09 €,0,1
Tami Tatranské maslo 125 g,0.99 €,0,1
BILLA BIO maslo 125g,2.39 €,0,1
Clever maslo 82% 125g,1.09 €,0,1
Rama alternatíva masla olivová 200g,1.39 €,0,1
Rama Maslová príchuť 400 g,3.99 €,0,1
Rama Classic 400 g,3.99 €,0,1
Rama Slaná príchuť 400 g,3.99 €,0,1
Rama Maslová príchuť 225 g,2.69 €,0,1
Rama Tuková nátierka 79% 250 g,1.99 €,0,1
Rama Crema 31% 200 ml,1.59 €,0,1
Rama Crema 15% 200 ml,1.59 €,0,1
Flora Gold 400 g,4.29 €,0,1
Flora Original 400 g,4.29 €,0,1
Flora Light 400 g,4.29 €,0,1
Palma Veto výhodné s maslovou príchuťou 500 g,1.39 €,0,1
Palma Veto Maslové 1% 450 g,1.59 €,0,1
Perla Maslová príchuť 450 g,2.29 €,0,1
Hera Classic 250 g,1.89 €,0,1
Palma Palmarin 250 g,1.39 €,0,1
Palma Cera na polevy 250 g,1.19 €,0,1
Kváskový slovenský chlieb 405g,1.79 €,0,1
Gazdovský kváskový chlieb 405g,1.89 €,0,1
Chlieb Lomidrevo 405g,1.75 €,0,1
Rustikálny semolinový chlieb 405g,1.35 €,0,1
Pšeničný chlieb s kváskom 410g,1.79 €,0,1
Bochník s kváskom a cmarom 500g,1.59 €,0,1
Oskar kváskový slnečnicový chlieb 505g,2.69 €,0,1
KVASKO RASCOVÝ CHLIEB 505G,1.99 €,0,1
Tekvicový chlieb z materského kvásku 400g,2.19 €,0,1
Chlieb tmavý voľný 1000g,1.89 €,0,1
Penam Fit deň Celozrnný ražný chlieb 250 g,2.29 €,0,1
Chlieb multicereálny 500g,2.29 €,0,1
Kváskový chlieb svetlý 400g,2.09 €,0,1
Kváskový chlieb ražný balený 400g,1.75 €,0,1
Penam Protein Energy chlebík proteínový tmavý 200 g,3.49 €,0,1
Penam Slovanský zemiakový chlieb 400 g,1.85 €,0,1
Penam Slovanský krajec tmavý 400 g,2.19 €,0,1
Slatinská Pekáreň Slatinský chlieb celozrnný krájaný 400 g,1.59 €,0,1
Chlieb večerný bielkovinový 350g,2.59 €,0,1
Chlieb Gazdovský 500g,2.45 €,0,1
Chlieb tekvicový 250g,2.29 €,0,1
Chlieb rascový 450g,2.25 €,0,1
Clever Konzumný chlieb krájaný 500g,0.99 €,0,1
BILLA Chlieb toastový chlieb tmavý 500g,2.35 €,0,1
Ölz Sendvič americký krájaný 750g,3.45 €,0,1
Ölz Super soft sandwich 375g,2.59 €,0,1
Ölz Viaczrnný toastový chlieb 250 g,1.99 €,0,1
Penam Protein Energy proteínový toust 240 g,2.55 €,0,1
Roberto Toast krájaný natur 400g,2.49 €,0,1
Veka 400g,1.29 €,0,1
Mestemacher Chlieb slnečnicový balený 500g,2.45 €,0,1
Vitacelia Celio chlebík bezgluténový 250 g,4.29 €,0,1
Chlieb bezgluténový z múky quinoa 350g (gluten free),3.59 €,0,1
Schär Maestro Classic chlieb bezgluténový krájaný 300 g,4.15 €,0,1
BILLA BIO banány (cca 1kg),1.99 €,1,1
Čučoriedky 125g,1.79 €,0,1
Jablká balené 1kg,1.69 €,0,1
Clever Jablká červené gala 2kg,1.99 €,0,1
Clever Jablká zelené golden delicious 2kg,1.99 €,0,1
Jablká golden delicious ukladané voľné kus,0.34 €,1,1
Clever hrušky 1kg,1.99 €,0,1
Clever citróny 500g,0.79 €,0,1
Jablká červené voľné kus,0.15 €,1,1
Pomaranče voľné kus,0.70 €,1,1
Mandarínky voľné kus,0.21 €,1,1
Kiwi kus,0.69 €,0,1
